Epoch 1, Val Acc avg 0.3078, Test Acc avg 0.2554
Epoch 2, Val Acc avg 0.3280, Test Acc avg 0.2701
Epoch 3, Val Acc avg 0.3539, Test Acc avg 0.2860
Epoch 4, Val Acc avg 0.5809, Test Acc avg 0.3988
Epoch 5, Val Acc avg 0.7029, Test Acc avg 0.4767
Epoch 6, Val Acc avg 0.7668, Test Acc avg 0.5242
Epoch 7, Val Acc avg 0.8251, Test Acc avg 0.5745
Epoch 8, Val Acc avg 0.8646, Test Acc avg 0.6233
Epoch 9, Val Acc avg 0.8767, Test Acc avg 0.6437
Epoch 10, Val Acc avg 0.8827, Test Acc avg 0.6594
Epoch 11, Val Acc avg 0.8884, Test Acc avg 0.6689
Epoch 12, Val Acc avg 0.8918, Test Acc avg 0.6766
Epoch 13, Val Acc avg 0.8945, Test Acc avg 0.6820
Epoch 14, Val Acc avg 0.8964, Test Acc avg 0.6859
Epoch 15, Val Acc avg 0.8985, Test Acc avg 0.6898
Epoch 16, Val Acc avg 0.9000, Test Acc avg 0.6928
Epoch 17, Val Acc avg 0.9011, Test Acc avg 0.6944
Epoch 18, Val Acc avg 0.9018, Test Acc avg 0.6968
Epoch 19, Val Acc avg 0.9027, Test Acc avg 0.6986
Epoch 20, Val Acc avg 0.9034, Test Acc avg 0.6995
Avg_epoch: 12.185010645124647, throughput: 504.3081355418167, len(train_nid): 6145
