Epoch 1, Val Acc avg 0.3075, Test Acc avg 0.2602
Epoch 2, Val Acc avg 0.3078, Test Acc avg 0.2586
Epoch 3, Val Acc avg 0.3078, Test Acc avg 0.2627
Epoch 4, Val Acc avg 0.3170, Test Acc avg 0.2734
Epoch 5, Val Acc avg 0.3606, Test Acc avg 0.3157
Epoch 6, Val Acc avg 0.5539, Test Acc avg 0.4546
Epoch 7, Val Acc avg 0.6627, Test Acc avg 0.5169
Epoch 8, Val Acc avg 0.7350, Test Acc avg 0.5610
Epoch 9, Val Acc avg 0.7930, Test Acc avg 0.5987
Epoch 10, Val Acc avg 0.8336, Test Acc avg 0.6396
Epoch 11, Val Acc avg 0.8665, Test Acc avg 0.6774
Epoch 12, Val Acc avg 0.8856, Test Acc avg 0.7002
Epoch 13, Val Acc avg 0.8963, Test Acc avg 0.7101
Epoch 14, Val Acc avg 0.9002, Test Acc avg 0.7156
Epoch 15, Val Acc avg 0.9035, Test Acc avg 0.7207
Epoch 16, Val Acc avg 0.9060, Test Acc avg 0.7236
Epoch 17, Val Acc avg 0.9078, Test Acc avg 0.7311
Epoch 18, Val Acc avg 0.9093, Test Acc avg 0.7333
Epoch 19, Val Acc avg 0.9101, Test Acc avg 0.7376
Epoch 20, Val Acc avg 0.9119, Test Acc avg 0.7401
Avg_epoch: 13.530683199564615, throughput: 454.1529728667161, len(train_nid): 6145
