Epoch 1, Val Acc avg 0.3164, Test Acc avg 0.2508
Epoch 2, Val Acc avg 0.4057, Test Acc avg 0.3196
Epoch 3, Val Acc avg 0.5609, Test Acc avg 0.4223
Epoch 4, Val Acc avg 0.6985, Test Acc avg 0.5152
Epoch 5, Val Acc avg 0.7911, Test Acc avg 0.5859
Epoch 6, Val Acc avg 0.8645, Test Acc avg 0.6479
Epoch 7, Val Acc avg 0.8918, Test Acc avg 0.6883
Epoch 8, Val Acc avg 0.8996, Test Acc avg 0.7089
Epoch 9, Val Acc avg 0.9050, Test Acc avg 0.7185
Epoch 10, Val Acc avg 0.9079, Test Acc avg 0.7259
Epoch 11, Val Acc avg 0.9102, Test Acc avg 0.7300
Epoch 12, Val Acc avg 0.9128, Test Acc avg 0.7324
Epoch 13, Val Acc avg 0.9143, Test Acc avg 0.7358
Epoch 14, Val Acc avg 0.9155, Test Acc avg 0.7406
Epoch 15, Val Acc avg 0.9170, Test Acc avg 0.7440
Epoch 16, Val Acc avg 0.9171, Test Acc avg 0.7445
Epoch 17, Val Acc avg 0.9177, Test Acc avg 0.7459
Epoch 18, Val Acc avg 0.9181, Test Acc avg 0.7465
Epoch 19, Val Acc avg 0.9178, Test Acc avg 0.7483
Epoch 20, Val Acc avg 0.9177, Test Acc avg 0.7459
Avg_epoch: 13.371233291096157, throughput: 459.4938900730467, len(train_nid): 6144
