Epoch 1, Val Acc avg 0.3095, Test Acc avg 0.2692
Epoch 2, Val Acc avg 0.3091, Test Acc avg 0.2703
Epoch 3, Val Acc avg 0.7733, Test Acc avg 0.6086
Epoch 4, Val Acc avg 0.8037, Test Acc avg 0.6381
Epoch 5, Val Acc avg 0.8704, Test Acc avg 0.6875
Epoch 6, Val Acc avg 0.8784, Test Acc avg 0.6989
Epoch 7, Val Acc avg 0.8924, Test Acc avg 0.7147
Epoch 8, Val Acc avg 0.8973, Test Acc avg 0.7250
Epoch 9, Val Acc avg 0.9013, Test Acc avg 0.7309
Epoch 10, Val Acc avg 0.9027, Test Acc avg 0.7359
Epoch 11, Val Acc avg 0.9055, Test Acc avg 0.7404
Epoch 12, Val Acc avg 0.9077, Test Acc avg 0.7448
Epoch 13, Val Acc avg 0.9097, Test Acc avg 0.7492
Epoch 14, Val Acc avg 0.9115, Test Acc avg 0.7565
Epoch 15, Val Acc avg 0.9126, Test Acc avg 0.7599
Epoch 16, Val Acc avg 0.9135, Test Acc avg 0.7634
Epoch 17, Val Acc avg 0.9129, Test Acc avg 0.7679
Epoch 18, Val Acc avg 0.9150, Test Acc avg 0.7735
Epoch 19, Val Acc avg 0.9149, Test Acc avg 0.7751
Epoch 20, Val Acc avg 0.9154, Test Acc avg 0.7785
Avg_epoch: 2.9586105081770153, throughput: 2076.650503004433, len(train_nid): 6144
